UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1410,"R",1857,"R",76,"R",1222,"R",0,"R",0,"R",1222,"R",705,"R",58,"R",165,"R",0,"R",0,"R",165,"R",51,"R",31,"R",18
100663,"R",1948,"R",3796,"R",51,"R",1593,"R",0,"R",0,"R",1593,"R",1300,"R",82,"R",28,"R",0,"R",0,"R",28,"R",12,"R",43,"R",16
100690,"R",3,"R",67,"R",4,"R",11,"R",0,"R",0,"R",11,"R",1,"R",9,"R",11,"R",0,"R",0,"R",11,"R",0,"R",0,"R",10
100706,"R",1203,"R",2064,"R",58,"R",1027,"R",1,"R",0,"R",1026,"R",847,"R",83,"R",11,"R",0,"R",0,"R",11,"R",6,"R",55,"R",17
100724,"R",1143,"R",1340,"R",85,"R",1006,"R",0,"Z",0,"R",1006,"R",630,"R",63,"R",13,"R",0,"Z",0,"R",13,"R",5,"R",38,"R",17
100751,"R",7541,"R",9306,"R",81,"R",7176,"R",2,"Z",0,"R",7174,"R",6189,"R",86,"R",35,"R",0,"R",0,"R",35,"R",14,"R",40,"R",23
100760,"R",337,"R",676,"R",50,"R",392,"R",0,"R",0,"R",392,"R",242,"R",62,"R",49,"R",0,"R",0,"R",49,"R",17,"R",35,"R",18
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
100830,"R",558,"R",1123,"R",50,"R",568,"R",1,"Z",0,"R",567,"R",378,"R",67,"R",52,"Z",0,"Z",0,"R",52,"R",25,"R",48,"R",14
100858,"R",4487,"R",6228,"R",72,"R",4854,"R",3,"Z",0,"R",4851,"R",4415,"R",91,"R",45,"R",1,"Z",0,"R",44,"R",33,"R",75,"R",19
100937,"R",328,"R",343,"R",96,"R",441,"R",0,"R",0,"R",441,"R",362,"R",82,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
101028,"R",293,"R",623,"R",47,"R",312,"R",0,"R",0,"R",312,"R",159,"R",51,"R",72,"R",0,"R",0,"R",72,"R",27,"R",38,"R",16
101073,"R",134,"R",189,"R",71,"R",213,"R",0,"R",0,"R",213,"R",103,"R",48,"R",13,"R",0,"R",0,"R",13,"R",4,"R",31,"R",19
101116,"R",20,"R",103,"R",19,"R",24,"R",0,"R",0,"R",24,"R",6,"R",25,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",10
101143,"R",296,"R",822,"R",36,"R",293,"R",0,"R",0,"R",293,"R",162,"R",55,"R",102,"R",0,"R",0,"R",102,"R",23,"R",23,"R",17
101161,"R",1042,"R",2206,"R",47,"R",1078,"R",0,"R",0,"R",1078,"R",541,"R",50,"R",222,"R",0,"R",0,"R",222,"R",87,"R",39,"R",26
101189,"R",297,"R",1058,"R",28,"R",280,"R",1,"R",0,"R",279,"R",152,"R",54,"R",17,"R",0,"R",0,"R",17,"R",9,"R",53,"R",11
101240,"R",979,"R",1999,"R",49,"R",947,"R",0,"R",0,"R",947,"R",538,"R",57,"R",243,"R",0,"R",0,"R",243,"R",105,"R",43,"R",18
101277,"A",,"A",,"A",,"R",52,"R",0,"R",0,"R",52,"R",45,"R",87,"R",2,"R",0,"Z",0,"R",2,"R",1,"R",50,"R",17
101286,"R",733,"R",1729,"R",42,"R",746,"R",0,"R",0,"R",746,"R",453,"R",61,"R",228,"R",0,"R",0,"R",228,"R",112,"R",49,"R",17
101295,"R",908,"R",1880,"R",48,"R",875,"R",0,"R",0,"R",875,"R",568,"R",65,"R",237,"R",0,"R",0,"R",237,"R",116,"R",49,"R",15
101301,"R",339,"R",616,"R",55,"R",334,"R",0,"Z",0,"R",334,"R",187,"R",56,"R",43,"R",0,"R",0,"R",43,"R",12,"R",28,"R",14
101365,"R",10,"R",167,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",16
101435,"R",277,"R",400,"R",69,"R",252,"R",0,"R",0,"R",252,"R",155,"R",62,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
101453,"R",1,"R",13,"R",8,"R",6,"R",0,"R",0,"R",6,"R",4,"R",67,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",7
101462,"R",123,"R",308,"R",40,"R",152,"R",0,"R",0,"R",152,"R",55,"R",36,"R",90,"R",0,"R",0,"R",90,"R",31,"R",34,"R",14
101471,"R",238,"R",288,"R",83,"R",198,"R",0,"Z",0,"R",198,"R",156,"R",79,"R",12,"R",0,"R",0,"R",12,"R",8,"R",67,"R",11
101480,"R",1294,"R",2543,"R",51,"R",1021,"R",0,"R",0,"R",1021,"R",801,"R",78,"R",28,"R",0,"R",0,"R",28,"R",13,"R",46,"R",18
101499,"R",258,"R",430,"R",60,"R",319,"R",0,"R",0,"R",319,"R",169,"R",53,"R",39,"R",0,"R",0,"R",39,"R",23,"R",59,"R",16
101505,"R",1079,"R",3994,"R",27,"R",1063,"R",0,"Z",0,"R",1063,"R",609,"R",57,"R",576,"R",0,"Z",0,"R",576,"R",239,"R",41,"R",20
101514,"R",1143,"R",3506,"R",33,"R",1189,"R",0,"R",0,"R",1189,"R",744,"R",63,"R",699,"R",1,"R",0,"R",698,"R",306,"R",44,"R",24
101541,"R",86,"R",166,"R",52,"R",62,"R",0,"Z",0,"R",62,"R",42,"R",68,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",9
101569,"R",638,"R",1295,"R",49,"R",620,"R",0,"R",0,"R",620,"R",315,"R",51,"R",179,"R",0,"R",0,"R",179,"R",64,"R",36,"R",17
101587,"R",373,"R",638,"R",58,"R",417,"R",0,"R",0,"R",417,"R",274,"R",66,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",12
101602,"R",414,"R",776,"R",53,"R",445,"R",1,"R",0,"R",444,"R",287,"R",65,"R",47,"R",0,"R",0,"R",47,"R",18,"R",38,"R",19
101648,"R",275,"R",295,"R",93,"R",275,"R",2,"R",0,"R",273,"R",106,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
101675,"R",428,"R",575,"R",74,"R",423,"R",0,"R",0,"R",423,"R",235,"R",56,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",20
101693,"R",224,"R",349,"R",64,"R",287,"R",0,"R",0,"R",287,"R",203,"R",71,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",13
101709,"R",473,"R",638,"R",74,"R",501,"R",0,"R",0,"R",501,"R",367,"R",73,"R",4,"Z",0,"Z",0,"R",4,"R",2,"R",50,"R",14
101736,"R",751,"R",1637,"R",46,"R",606,"R",0,"R",0,"R",606,"R",368,"R",61,"R",112,"R",0,"R",0,"R",112,"R",30,"R",27,"R",20
101879,"R",1177,"R",2042,"R",58,"R",1159,"R",0,"Z",0,"R",1159,"R",870,"R",75,"R",14,"R",0,"Z",0,"R",14,"R",9,"R",64,"R",20
101897,"R",491,"R",1092,"R",45,"R",477,"R",0,"R",0,"R",477,"R",306,"R",64,"R",114,"Z",0,"Z",0,"R",114,"R",60,"R",53,"R",18
101912,"R",390,"R",472,"R",83,"R",337,"R",0,"Z",0,"R",337,"R",250,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
101949,"R",381,"R",709,"R",54,"R",384,"R",0,"R",0,"R",384,"R",243,"R",63,"R",54,"R",0,"R",0,"R",54,"R",17,"R",31,"R",17
101958,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3
101994,"R",66,"R",223,"R",30,"R",67,"R",0,"R",0,"R",67,"R",31,"R",46,"R",8,"R",0,"R",0,"R",8,"R",4,"R",50,"R",12
102030,"R",597,"R",1405,"R",42,"R",624,"R",0,"R",0,"R",624,"R",295,"R",47,"R",149,"R",0,"R",0,"R",149,"R",32,"R",21,"R",19
102049,"R",916,"R",1041,"R",88,"R",826,"R",0,"R",0,"R",826,"R",733,"R",89,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
102058,"N",53,"N",62,"N",85,"N",103,"N",0,"N",0,"N",103,"N",69,"N",67,"N",38,"N",0,"N",0,"N",38,"N",0,"N",0,"N",19
102067,"R",613,"R",1612,"R",38,"R",707,"R",0,"R",0,"R",707,"R",458,"R",65,"R",437,"R",0,"R",0,"R",437,"R",182,"R",42,"R",21
102076,"R",569,"R",1006,"R",57,"R",589,"R",0,"R",0,"R",589,"R",359,"R",61,"R",63,"R",0,"R",0,"R",63,"R",17,"R",27,"R",20
102094,"R",1955,"R",3185,"R",61,"R",2082,"R",0,"R",0,"R",2082,"R",1524,"R",73,"R",21,"R",0,"R",0,"R",21,"R",11,"R",52,"R",20
102234,"R",392,"R",434,"R",90,"R",416,"R",0,"R",0,"R",416,"R",318,"R",76,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
102261,"R",13,"R",40,"R",33,"R",9,"R",0,"R",0,"R",9,"R",6,"R",67,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",8
102270,"R",125,"R",212,"R",59,"R",239,"R",0,"R",0,"R",239,"R",95,"R",40,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",10
102298,"R",25,"R",32,"R",78,"R",320,"R",0,"Z",0,"R",320,"R",181,"R",57,"R",30,"R",0,"Z",0,"R",30,"R",20,"R",67,"R",12
102313,"R",235,"R",764,"R",31,"R",248,"R",0,"R",0,"R",248,"R",153,"R",62,"R",86,"R",0,"Z",0,"R",86,"R",41,"R",48,"R",15
102368,"R",1727,"R",3344,"R",52,"R",1673,"R",0,"R",0,"R",1673,"R",1243,"R",74,"R",131,"R",0,"R",0,"R",131,"R",53,"R",40,"R",15
102377,"R",654,"R",727,"R",90,"R",594,"R",0,"R",0,"R",594,"R",418,"R",70,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",14
102395,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
102429,"R",507,"R",1468,"R",35,"R",556,"R",0,"R",0,"R",556,"R",331,"R",60,"R",132,"R",0,"R",0,"R",132,"R",69,"R",52,"R",17
102553,"R",1322,"R",3084,"R",43,"R",950,"Z",0,"Z",0,"R",950,"R",667,"R",70,"R",240,"Z",0,"Z",0,"R",240,"R",115,"R",48,"R",12
102580,"R",6,"R",20,"R",30,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",8
102614,"R",670,"R",1929,"R",35,"R",448,"Z",0,"Z",0,"R",448,"R",338,"R",75,"R",44,"Z",0,"Z",0,"R",44,"R",22,"R",50,"R",9
102632,"R",118,"R",380,"R",31,"R",70,"Z",0,"Z",0,"R",70,"R",39,"R",56,"R",13,"Z",0,"Z",0,"R",13,"R",8,"R",62,"R",9
102669,"R",39,"R",114,"R",34,"R",39,"R",0,"R",0,"R",39,"R",20,"R",51,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",8
102711,"A",,"A",,"A",,"R",177,"R",0,"R",0,"R",177,"R",167,"R",94,"R",656,"R",0,"Z",0,"R",656,"R",656,"R",100,"R",15
102845,"A",,"A",,"A",,"R",7,"Z",0,"Z",0,"R",7,"R",5,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
103501,"A",,"A",,"A",,"R",233,"R",0,"Z",0,"R",233,"R",168,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
103741,"A",,"A",,"A",,"R",23,"R",0,"Z",0,"R",23,"R",15,"R",65,"R",9,"R",0,"Z",0,"R",9,"R",3,"R",33,"R",18
103811,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
103893,"A",,"A",,"A",,"R",139,"R",1,"R",0,"R",138,"R",97,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"R",35
103909,"A",,"A",,"A",,"R",78,"R",0,"R",0,"R",78,"R",55,"R",71,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",41
103927,"A",,"A",,"A",,"R",91,"R",0,"R",0,"R",91,"R",67,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"R",39
103945,"A",,"A",,"A",,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
103954,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
103963,"A",,"A",,"A",,"R",404,"R",0,"R",0,"R",404,"R",255,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"R",24
104090,"A",,"A",,"A",,"R",155,"R",0,"R",0,"R",155,"R",88,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
104151,"R",8185,"R",11725,"R",70,"R",8278,"R",58,"R",0,"R",8220,"R",7059,"R",86,"R",70,"R",5,"R",0,"R",65,"R",24,"R",37,"R",23
104160,"R",625,"R",2151,"R",29,"R",836,"R",0,"R",0,"R",836,"R",569,"R",68,"R",984,"R",0,"R",0,"R",984,"R",439,"R",45,"R",21
104179,"R",5997,"R",10028,"R",60,"R",6973,"R",12,"R",0,"R",6961,"R",5602,"R",80,"R",1063,"R",0,"R",0,"R",1063,"R",678,"R",64,"R",20
104188,"R",24,"R",31,"R",77,"R",24,"R",0,"R",0,"R",24,"R",20,"R",83,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
104346,"R",503,"R",2114,"R",24,"R",529,"R",0,"R",0,"R",529,"R",259,"R",49,"R",729,"R",0,"R",0,"R",729,"R",236,"R",32,"R",16
104364,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4
104391,"A",,"A",,"A",,"R",63,"R",0,"R",0,"R",63,"R",56,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
