GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
0500000US01003,01003,"Baldwin County, Alabama",168216,1302,93631,4269,93557,4279,90197,4379,3360,1624,74,127,74585,4155
0500000US01015,01015,"Calhoun County, Alabama",92847,623,51933,2408,51590,2404,46812,2582,4778,1148,343,537,40914,2403
0500000US01043,01043,"Cullman County, Alabama",66852,536,34442,2387,34367,2388,32765,2401,1602,632,75,122,32410,2407
0500000US01049,01049,"DeKalb County, Alabama",56314,379,31290,1796,31244,1803,29693,1684,1551,697,46,89,25024,1838
0500000US01051,01051,"Elmore County, Alabama",65296,584,36129,2344,35802,2354,34059,2461,1743,877,327,235,29167,2362
0500000US01055,01055,"Etowah County, Alabama",83107,888,43758,2276,43717,2270,40918,2254,2799,870,41,76,39349,2354
0500000US01069,01069,"Houston County, Alabama",82539,306,47031,1404,46836,1406,43418,1454,3418,538,195,90,35508,1453
0500000US01073,01073,"Jefferson County, Alabama",525539,1125,328963,4982,328574,4985,305986,5009,22588,2373,389,292,196576,4905
0500000US01077,01077,"Lauderdale County, Alabama",76069,953,42193,2211,42004,2240,38940,2205,3064,924,189,286,33876,1958
0500000US01081,01081,"Lee County, Alabama",128619,1042,80358,2524,79653,2500,75028,2728,4625,1434,705,476,48261,2547
0500000US01083,01083,"Limestone County, Alabama",74427,732,41034,2449,40852,2457,38509,2618,2343,1032,182,242,33393,2531
0500000US01089,01089,"Madison County, Alabama",287221,1071,188003,3727,186777,3741,177996,3923,8781,1618,1226,563,99218,3911
0500000US01095,01095,"Marshall County, Alabama",74909,597,40566,2009,40490,2024,37891,2141,2599,712,76,131,34343,1942
0500000US01097,01097,"Mobile County, Alabama",328783,1125,187197,4269,186421,4294,175077,4462,11344,1744,776,436,141586,4435
0500000US01101,01101,"Montgomery County, Alabama",179316,661,112085,3042,110574,3125,102601,3491,7973,1900,1511,582,67231,3099
0500000US01103,01103,"Morgan County, Alabama",95323,888,51890,3007,51832,3022,49211,2985,2621,954,58,98,43433,3227
0500000US01115,01115,"St. Clair County, Alabama",69656,751,41755,1850,41684,1852,39603,1752,2081,777,71,101,27901,1906
0500000US01117,01117,"Shelby County, Alabama",165685,765,108596,3174,108489,3182,104293,3296,4196,1166,107,170,57089,3120
0500000US01121,01121,"Talladega County, Alabama",64456,772,33138,2231,33138,2231,30554,2418,2584,1032,0,195,31318,2173
0500000US01125,01125,"Tuscaloosa County, Alabama",166989,701,104157,3778,103856,3734,96195,3659,7661,1646,301,344,62832,3783
0500000US01127,01127,"Walker County, Alabama",52378,344,25426,1924,25322,1924,22007,1999,3315,959,104,125,26952,1909
