GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up alone,Margin of Error; Total: - With an Internet subscription - Dial-up alone,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Other service,Margin of Error; Total: - With an Internet subscription - Other service,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
0500000US01003,01003,"Baldwin County, Alabama",76779,3010,59571,3297,333,252,43812,3384,7089,1392,602,477,3489,1286,13719,2465
0500000US01015,01015,"Calhoun County, Alabama",43972,1687,31785,2051,40,66,23686,1866,4177,916,329,221,1869,797,10318,1336
0500000US01043,01043,"Cullman County, Alabama",30299,1234,22228,1461,317,221,14977,1553,2787,672,646,427,1013,500,7058,1120
0500000US01049,01049,"DeKalb County, Alabama",25383,1190,17529,1476,117,150,11640,1275,1562,534,79,77,564,393,7290,1272
0500000US01051,01051,"Elmore County, Alabama",29350,1102,24129,1509,159,181,19251,1761,1525,526,289,252,1169,770,4052,958
0500000US01055,01055,"Etowah County, Alabama",38766,1489,29174,1914,246,188,21213,1902,2327,627,490,307,2166,719,7426,1230
0500000US01069,01069,"Houston County, Alabama",39167,959,28257,1008,207,119,20777,1042,2491,573,183,83,829,262,10081,696
0500000US01073,01073,"Jefferson County, Alabama",261904,4316,206416,4862,673,275,169188,4550,15666,1648,6488,1442,8299,1301,47189,2665
0500000US01077,01077,"Lauderdale County, Alabama",37875,1391,27289,1684,163,204,19411,1487,2450,714,262,206,1621,726,8965,1321
0500000US01081,01081,"Lee County, Alabama",59354,1783,49027,1927,151,199,39730,2280,3644,940,575,420,2510,850,7817,1346
0500000US01083,01083,"Limestone County, Alabama",31880,1214,23196,1489,98,123,18138,1725,2549,920,653,625,3378,1272,5306,1089
0500000US01089,01089,"Madison County, Alabama",143669,2833,123496,3324,518,517,102602,3229,8040,1530,1146,546,3293,851,16880,2212
0500000US01095,01095,"Marshall County, Alabama",34726,1047,27580,1471,84,90,19882,1601,1655,684,170,156,441,243,6705,1211
0500000US01097,01097,"Mobile County, Alabama",157141,2741,115144,3517,805,460,85894,3214,10836,1556,1816,662,6543,1242,35454,2682
0500000US01101,01101,"Montgomery County, Alabama",90827,1963,72693,2578,211,290,59659,2858,2608,614,494,373,1382,573,16752,1601
0500000US01103,01103,"Morgan County, Alabama",44816,1847,32599,1966,288,223,25151,1825,2824,778,170,162,1152,534,11065,1457
0500000US01115,01115,"St. Clair County, Alabama",31615,1367,23799,1628,16,29,17029,1619,1900,616,675,468,2382,934,5434,1244
0500000US01117,01117,"Shelby County, Alabama",76059,1692,67598,1861,98,121,58072,2132,6411,1119,1500,686,1897,834,6564,1072
0500000US01121,01121,"Talladega County, Alabama",31517,1635,23668,1656,8,13,15277,1489,2378,706,445,332,905,545,6944,981
0500000US01125,01125,"Tuscaloosa County, Alabama",73825,2003,56704,2928,69,117,44068,2712,5672,1202,549,300,2633,1030,14488,2189
0500000US01127,01127,"Walker County, Alabama",23863,1316,17699,1439,151,147,10397,1293,2153,633,245,214,486,312,5678,916
0500000US02020,02020,"Anchorage Municipality, Alaska",105249,1864,96908,2292,380,244,84791,2666,3456,904,457,311,1401,573,6940,1214
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",33770,1901,28547,2242,354,255,22395,1928,1894,768,1136,703,1136,555,4087,1278
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30305,769,26096,803,37,61,21319,1008,1482,433,205,142,828,269,3381,535
0500000US04001,04001,"Apache County, Arizona",20018,884,8461,806,391,164,5404,708,927,327,184,170,745,285,10812,873
0500000US04003,04003,"Cochise County, Arizona",50147,2119,39264,2340,267,163,30315,2215,6600,1096,742,451,1894,864,8989,1213
0500000US04005,04005,"Coconino County, Arizona",47408,1957,36618,1994,343,228,27036,2021,4496,1025,811,455,2072,649,8718,1232
0500000US04013,04013,"Maricopa County, Arizona",1521131,9246,1298868,10303,4741,1105,1085473,12586,124416,4731,14725,1661,39049,3199,183214,6349
0500000US04015,04015,"Mohave County, Arizona",84876,2775,69200,3428,312,243,53479,3567,7236,1101,2549,1036,1566,637,14110,1855
0500000US04017,04017,"Navajo County, Arizona",33587,1656,20528,1463,369,224,15286,1353,2261,648,570,377,967,460,12092,1030
0500000US04019,04019,"Pima County, Arizona",400835,4105,342830,5018,1580,573,276235,5105,26038,2104,4057,1009,7333,1147,50672,3534
0500000US04021,04021,"Pinal County, Arizona",132352,3221,110891,3814,433,340,85254,3641,16892,2029,1228,675,4109,1151,17352,1787
0500000US04025,04025,"Yavapai County, Arizona",94962,2874,76552,3501,505,292,59432,3355,12311,1795,810,362,2191,887,16219,2087
0500000US04027,04027,"Yuma County, Arizona",73072,2001,58600,2737,254,172,43825,2663,4892,1041,247,205,1314,503,13158,1973
0500000US05007,05007,"Benton County, Arkansas",94494,1606,55838,2551,375,269,45384,2610,4827,903,511,245,24548,2514,14108,1688
0500000US05031,05031,"Craighead County, Arkansas",39813,1369,31733,1788,0,197,22727,2126,1801,674,208,203,1571,579,6509,1187
0500000US05045,05045,"Faulkner County, Arkansas",43964,1306,34249,1904,60,100,27601,1623,6031,1331,400,284,2734,812,6981,1202
0500000US05051,05051,"Garland County, Arkansas",39309,2140,31475,2064,80,134,21283,1916,4736,1231,835,583,862,626,6972,1453
0500000US05069,05069,"Jefferson County, Arkansas",26750,1509,17274,1603,42,75,10615,1411,2175,629,148,128,919,528,8557,1387
0500000US05085,05085,"Lonoke County, Arkansas",26327,934,20497,1276,107,122,15008,1529,3358,907,38,65,661,460,5169,1058
0500000US05119,05119,"Pulaski County, Arkansas",161291,2762,125952,3537,530,327,93134,3914,14192,2349,2862,1201,4392,1342,30947,2658
0500000US05125,05125,"Saline County, Arkansas",43371,1397,36766,1653,239,230,25407,1967,4600,1015,281,231,1247,790,5358,987
0500000US05131,05131,"Sebastian County, Arkansas",51055,1457,38834,2110,75,125,28620,1981,2178,792,583,356,2279,1014,9942,1520
0500000US05143,05143,"Washington County, Arkansas",88690,1279,66713,2899,258,172,50033,2793,4616,1204,1269,709,8546,1684,13431,2276
0500000US05145,05145,"White County, Arkansas",28221,1401,20840,1687,59,74,12359,1558,2887,953,24,23,678,434,6703,1295
0500000US06001,06001,"Alameda County, California",572012,3657,500867,5536,1215,419,449256,5108,27919,2287,4808,1048,13150,1840,57995,3732
0500000US06007,06007,"Butte County, California",85531,2090,71193,2688,465,305,56824,3191,9037,1280,969,527,2715,967,11623,1693
0500000US06013,06013,"Contra Costa County, California",391288,2968,357394,3950,908,373,318565,4717,21028,1949,1849,645,5842,1640,28052,2753
0500000US06017,06017,"El Dorado County, California",69653,2207,60619,2283,178,150,47558,2412,8533,1366,1158,462,1659,702,7375,1574
0500000US06019,06019,"Fresno County, California",303216,2788,243132,4322,920,463,186728,4574,20693,1801,3308,994,7109,1327,52975,3914
0500000US06023,06023,"Humboldt County, California",54230,1436,44123,1978,429,327,36400,1911,3545,838,1581,666,2013,758,8094,1330
0500000US06025,06025,"Imperial County, California",44855,1612,33610,1771,56,98,27172,2066,2424,672,405,241,1119,505,10126,1417
