GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37
Id,Id2,Geography,Total; Estimate; Total households,Total; Margin of Error; Total households,Percent; Estimate; Total households,Percent; Margin of Error; Total households,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - No computer,Total; Margin of Error; TYPES OF COMPUTER - No computer,Percent; Estimate; TYPES OF COMPUTER - No computer,Percent; Margin of Error; TYPES OF COMPUTER - No computer,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,"Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL",Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,"Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription"
0500000US01003,01003,"Baldwin County, Alabama",76779,3010,(X),(X),66894,3117,87.1,2.4,56302,2991,73.3,3.2,5502,1193,7.2,1.6,59232,3375,77.1,3.0,7964,1851,10.4,2.3,40949,3021,53.3,3.6,461,470,0.6,0.6,1629,615,2.1,0.8,0,195,0.0,0.2,9885,1894,12.9,2.4,59571,3297,77.6,3.3,333,252,0.4,0.3,59238,3284,77.2,3.3,52153,3426,67.9,3.7,12053,2222,15.7,2.9,43812,3384,57.1,3.9,7089,1392,9.2,1.8,17208,2694,22.4,3.3,12553,2142,(X),(X),0,195,0.0,1.2,5253,1458,41.8,8.9,7300,1647,58.2,8.9,35086,3239,(X),(X),322,251,0.9,0.7,26982,3142,76.9,4.5,7782,1695,22.2,4.6,29140,2452,(X),(X),11,17,0.0,0.1,27003,2455,92.7,3.3,2126,964,7.3,3.3
0500000US01015,01015,"Calhoun County, Alabama",43972,1687,(X),(X),37160,1948,84.5,2.4,30423,1959,69.2,3.3,3757,733,8.5,1.7,31556,1950,71.8,2.8,4296,1092,9.8,2.4,23265,1826,52.9,3.5,475,268,1.1,0.6,720,468,1.6,1.1,0,195,0.0,0.4,6812,1022,15.5,2.4,31785,2051,72.3,3.5,40,66,0.1,0.1,31745,2032,72.2,3.4,26476,2001,60.2,3.7,5716,1202,13.0,2.7,23686,1866,53.9,3.5,4177,916,9.5,2.1,12187,1559,27.7,3.5,9962,1499,(X),(X),0,195,0.0,1.6,5150,1088,51.7,7.2,4812,986,48.3,7.2,22846,2111,(X),(X),40,66,0.2,0.3,16204,1714,70.9,5.1,6602,1425,28.9,5.2,11164,1618,(X),(X),0,195,0.0,1.4,10391,1450,93.1,3.4,773,418,6.9,3.4
0500000US01043,01043,"Cullman County, Alabama",30299,1234,(X),(X),24601,1305,81.2,3.1,18747,1367,61.9,4.0,2087,548,6.9,1.8,20677,1419,68.2,4.0,3627,947,12.0,3.1,14034,1388,46.3,4.1,606,410,2.0,1.4,668,461,2.2,1.5,0,195,0.0,0.5,5698,988,18.8,3.1,22228,1461,73.4,3.8,317,221,1.0,0.7,21911,1446,72.3,3.8,18173,1573,60.0,4.7,5203,875,17.2,2.9,14977,1553,49.4,4.4,2787,672,9.2,2.3,8071,1193,26.6,3.8,6457,1127,(X),(X),43,70,0.7,1.1,3211,851,49.7,11.5,3203,1001,49.6,11.4,17017,1428,(X),(X),274,213,1.6,1.2,12199,1349,71.7,4.3,4544,772,26.7,4.3,6825,1038,(X),(X),0,195,0.0,2.3,6501,1051,95.3,2.9,324,194,4.7,2.9
0500000US01049,01049,"DeKalb County, Alabama",25383,1190,(X),(X),21038,1305,82.9,3.8,14448,1507,56.9,5.3,2612,714,10.3,2.8,17935,1243,70.7,3.9,4362,1292,17.2,5.0,10445,1312,41.1,4.9,119,97,0.5,0.4,348,438,1.4,1.7,0,195,0.0,0.6,4345,1003,17.1,3.8,17529,1476,69.1,4.8,117,150,0.5,0.6,17412,1452,68.6,4.7,13363,1331,52.6,4.7,4595,1148,18.1,4.3,11640,1275,45.9,5.0,1562,534,6.2,2.0,7854,1256,30.9,4.8,6067,1214,(X),(X),90,147,1.5,2.4,2433,855,40.1,10.9,3544,898,58.4,10.9,14805,1380,(X),(X),27,34,0.2,0.2,10998,1389,74.3,6.0,3780,934,25.5,6.0,4511,879,(X),(X),0,195,0.0,3.4,3981,889,88.3,8.1,530,366,11.7,8.1
0500000US01051,01051,"Elmore County, Alabama",29350,1102,(X),(X),26807,1234,91.3,2.4,21442,1611,73.1,4.4,2221,638,7.6,2.2,23701,1337,80.8,2.9,3272,1167,11.1,4.0,17154,1540,58.4,4.6,209,194,0.7,0.7,285,230,1.0,0.8,0,195,0.0,0.5,2543,720,8.7,2.4,24129,1509,82.2,3.9,159,181,0.5,0.6,23970,1507,81.7,3.9,20856,1377,71.1,3.8,3420,985,11.7,3.4,19251,1761,65.6,5.0,1525,526,5.2,1.8,5221,1136,17.8,3.9,5186,1368,(X),(X),0,195,0.0,3.0,2542,907,49.0,14.0,2644,1091,51.0,14.0,13372,1765,(X),(X),75,121,0.6,0.9,11162,1529,83.5,4.3,2135,644,16.0,4.0,10792,1491,(X),(X),84,130,0.8,1.2,10266,1494,95.1,3.2,442,299,4.1,2.8
0500000US01055,01055,"Etowah County, Alabama",38766,1489,(X),(X),32526,1659,83.9,2.5,24446,1926,63.1,3.9,2758,671,7.1,1.8,27826,1813,71.8,3.2,4689,1144,12.1,2.9,19415,1759,50.1,3.9,665,311,1.7,0.8,798,442,2.1,1.1,0,195,0.0,0.4,6240,974,16.1,2.5,29174,1914,75.3,3.5,246,188,0.6,0.5,28928,1907,74.6,3.5,21300,1934,54.9,4.3,6166,1324,15.9,3.3,21213,1902,54.7,4.2,2327,627,6.0,1.6,9592,1338,24.7,3.5,8736,1161,(X),(X),35,57,0.4,0.7,4879,919,55.8,7.3,3822,811,43.8,7.3,20721,1897,(X),(X),86,86,0.4,0.4,15670,1868,75.6,5.0,4965,1079,24.0,5.0,9309,1221,(X),(X),125,156,1.3,1.6,8379,1085,90.0,5.4,805,507,8.6,5.1
0500000US01069,01069,"Houston County, Alabama",39167,959,(X),(X),31375,1022,80.1,1.6,24829,1005,63.4,2.1,4078,470,10.4,1.3,25398,1072,64.8,1.9,3775,495,9.6,1.3,18825,973,48.1,2.0,748,389,1.9,1.0,513,171,1.3,0.4,10,16,0.0,0.1,7792,664,19.9,1.6,28257,1008,72.1,1.8,207,119,0.5,0.3,28050,1006,71.6,1.8,21219,1011,54.2,2.1,5623,535,14.4,1.3,20777,1042,53.0,2.3,2491,573,6.4,1.5,10910,727,27.9,1.8,9407,917,(X),(X),22,27,0.2,0.3,4496,682,47.8,5.1,4889,640,52.0,5.2,19184,1001,(X),(X),120,91,0.6,0.5,14006,893,73.0,2.7,5058,570,26.4,2.6,10576,725,(X),(X),65,50,0.6,0.5,9548,667,90.3,2.3,963,256,9.1,2.2
0500000US01073,01073,"Jefferson County, Alabama",261904,4316,(X),(X),229312,4699,87.6,0.9,184976,5402,70.6,1.5,18233,1759,7.0,0.7,201287,5180,76.9,1.2,28282,3048,10.8,1.2,141485,4786,54.0,1.5,3999,932,1.5,0.4,4966,1009,1.9,0.4,137,113,0.1,0.1,32592,2336,12.4,0.9,206416,4862,78.8,1.1,673,275,0.3,0.1,205743,4815,78.6,1.1,174306,5449,66.6,1.5,31259,2667,11.9,1.0,169188,4550,64.6,1.3,15666,1648,6.0,0.6,55488,2899,21.2,1.1,54331,3275,(X),(X),160,115,0.3,0.2,29326,2710,54.0,3.3,24845,2184,45.7,3.4,121230,5297,(X),(X),291,213,0.2,0.2,95556,5086,78.8,1.7,25383,2149,20.9,1.7,86343,3428,(X),(X),222,195,0.3,0.2,80861,3441,93.7,1.4,5260,1220,6.1,1.4
0500000US01077,01077,"Lauderdale County, Alabama",37875,1391,(X),(X),30898,1688,81.6,3.3,26094,1561,68.9,3.5,2607,757,6.9,2.0,26307,1861,69.5,3.9,2849,750,7.5,2.0,19522,1578,51.5,3.8,491,252,1.3,0.7,683,418,1.8,1.1,0,195,0.0,0.4,6977,1276,18.4,3.3,27289,1684,72.1,3.5,163,204,0.4,0.5,27126,1653,71.6,3.4,21169,1706,55.9,3.7,6009,1214,15.9,3.0,19411,1487,51.3,3.9,2450,714,6.5,1.9,10586,1350,27.9,3.5,7724,1346,(X),(X),0,195,0.0,2.0,3608,976,46.7,9.2,4116,975,53.3,9.2,19215,1670,(X),(X),41,66,0.2,0.3,13668,1488,71.1,5.5,5506,1214,28.7,5.5,10936,1196,(X),(X),122,199,1.1,1.8,9850,1144,90.1,4.2,964,447,8.8,4.0
