GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - Native,Margin of Error; Male: - Under 18 years: - Native,Estimate; Male: - Under 18 years: - Foreign born:,Margin of Error; Male: - Under 18 years: - Foreign born:,Estimate; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Male: - 18 years and over:,Margin of Error; Male: - 18 years and over:,Estimate; Male: - 18 years and over: - Native,Margin of Error; Male: - 18 years and over: - Native,Estimate; Male: - 18 years and over: - Foreign born:,Margin of Error; Male: - 18 years and over: - Foreign born:,Estimate; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - Native,Margin of Error; Female: - Under 18 years: - Native,Estimate; Female: - Under 18 years: - Foreign born:,Margin of Error; Female: - Under 18 years: - Foreign born:,Estimate; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Female: - 18 years and over:,Margin of Error; Female: - 18 years and over:,Estimate; Female: - 18 years and over: - Native,Margin of Error; Female: - 18 years and over: - Native,Estimate; Female: - 18 years and over: - Foreign born:,Margin of Error; Female: - 18 years and over: - Foreign born:,Estimate; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen
0500000US01001,01001,"Autauga County, Alabama",55049,*****,26877,120,7122,101,7028,142,94,92,61,69,33,57,19755,71,19284,158,471,139,180,93,291,155,28172,120,6731,102,6725,102,6,8,6,8,0,27,21441,59,21000,139,441,128,228,98,213,112
0500000US01003,01003,"Baldwin County, Alabama",199510,*****,97371,352,22578,349,22327,327,251,129,62,53,189,131,74793,52,71813,521,2980,514,1016,280,1964,578,102139,352,21692,348,21241,398,451,263,258,170,193,205,80447,52,77606,391,2841,403,1334,296,1507,275
0500000US01005,01005,"Barbour County, Alabama",26614,*****,14239,45,2943,32,2930,30,13,15,7,11,6,9,11296,31,10832,61,464,66,77,43,387,81,12375,45,2792,35,2776,41,16,21,0,21,16,21,9583,28,9315,64,268,68,149,79,119,70
0500000US01007,01007,"Bibb County, Alabama",22572,*****,12084,198,2495,192,2495,192,0,21,0,21,0,21,9589,81,9435,90,154,69,43,54,111,49,10488,198,2261,187,2261,187,0,21,0,21,0,21,8227,60,8076,49,151,81,35,46,116,49
0500000US01009,01009,"Blount County, Alabama",57704,*****,28572,107,6903,90,6899,89,4,9,0,27,4,9,21669,89,20384,205,1285,193,293,127,992,233,29132,107,6698,85,6584,113,114,69,11,12,103,71,22434,83,21372,160,1062,143,383,89,679,172
0500000US01011,01011,"Bullock County, Alabama",10552,*****,5719,85,1157,85,1157,85,0,18,0,18,0,18,4562,*****,4513,44,49,44,49,44,0,18,4833,85,1117,86,1117,86,0,18,0,18,0,18,3716,*****,3605,122,111,122,28,47,83,106
0500000US01013,01013,"Butler County, Alabama",20280,*****,9522,59,2473,31,2473,31,0,21,0,21,0,21,7049,55,6843,65,206,66,117,81,89,60,10758,59,2260,32,2260,32,0,21,0,21,0,21,8498,74,8421,40,77,69,46,58,31,35
0500000US01015,01015,"Calhoun County, Alabama",115883,*****,55742,139,13074,115,13017,116,57,52,34,47,23,31,42668,89,41480,235,1188,212,329,115,859,172,60141,139,12567,119,12496,123,71,53,54,46,17,31,47574,62,46116,221,1458,214,598,147,860,211
0500000US01017,01017,"Chambers County, Alabama",34018,*****,16299,61,3718,38,3689,2,29,38,0,24,29,38,12581,65,12400,54,181,52,17,16,164,51,17719,61,3565,52,3565,52,0,24,0,24,0,24,14154,53,14027,56,127,39,35,27,92,34
