GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US01001,01001,"Autauga County, Alabama",24302,714,23307,714,21082,708,2225,412,1906,380,249,125,31,28,29,26,10,17,19,17,15,16,4,7,0,27,0,27,0,27,0,27,64,60,13,20,116,100,275,179,508,151
0500000US01003,01003,"Baldwin County, Alabama",86310,1519,79642,1548,73058,1625,6584,812,4875,740,1014,299,446,256,208,130,41,48,185,128,185,128,0,27,0,27,0,27,0,27,13,16,180,125,268,259,943,307,697,221,4382,634
0500000US01005,01005,"Barbour County, Alabama",8783,425,8297,446,7271,416,1026,226,664,171,147,67,58,53,70,63,87,96,34,42,34,42,0,21,0,21,0,21,0,21,0,21,19,32,0,21,188,81,134,71,111,49
0500000US01007,01007,"Bibb County, Alabama",8280,491,7975,486,7044,536,931,329,876,317,45,43,10,18,0,21,0,21,40,34,33,32,0,21,0,21,7,11,0,21,0,21,9,16,0,21,44,47,111,80,101,71
0500000US01009,01009,"Blount County, Alabama",21350,719,20550,698,18384,676,2166,361,1565,275,444,164,60,42,44,60,53,80,37,42,37,42,0,27,0,27,0,27,0,27,0,27,21,28,0,27,188,94,74,46,480,139
0500000US01011,01011,"Bullock County, Alabama",4165,337,3698,309,3184,311,514,214,394,184,67,58,6,9,0,18,47,65,15,25,15,25,0,18,0,18,0,18,0,18,0,18,0,18,0,18,232,180,112,140,108,98
0500000US01013,01013,"Butler County, Alabama",7691,315,7416,321,6544,362,872,222,599,167,224,127,24,30,25,33,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,60,32,49,34,166,72
0500000US01015,01015,"Calhoun County, Alabama",45797,1122,43340,1190,38921,1187,4419,509,3543,509,474,149,270,185,63,51,69,59,102,55,71,49,0,27,0,27,18,29,13,21,0,27,127,69,15,20,632,219,380,124,1201,343
0500000US01017,01017,"Chambers County, Alabama",13846,560,13374,520,12190,535,1184,271,1025,256,128,66,0,24,31,32,0,24,34,30,34,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,94,77,44,49,300,143
