GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
0500000US01001,01001,"Autauga County, Alabama",23794,711,1136,318,941,238,1579,332,2324,346,3069,437,4498,478,3242,437,1800,365,538,179,854,225,403,150,126,72,1353,289,1931,410
0500000US01003,01003,"Baldwin County, Alabama",81928,1517,3616,554,3764,532,4965,668,9140,978,9868,912,13545,982,10680,863,6546,583,3133,391,3665,494,2676,554,695,185,4683,624,4952,712
0500000US01005,01005,"Barbour County, Alabama",8672,435,519,134,444,132,662,176,1100,191,1139,189,1211,195,955,137,411,117,131,71,297,105,74,44,50,35,621,156,1058,220
0500000US01007,01007,"Bibb County, Alabama",8179,484,785,220,609,185,946,255,1471,301,898,225,1509,358,491,165,216,92,78,55,58,40,216,133,178,142,211,93,513,193
0500000US01009,01009,"Blount County, Alabama",20870,691,1725,283,1309,237,1176,211,3847,457,2440,408,3460,375,1840,283,2170,352,226,83,303,113,234,127,65,39,916,208,1159,234
0500000US01011,01011,"Bullock County, Alabama",4057,335,245,159,197,151,280,131,389,200,473,179,418,197,553,167,387,219,29,26,16,27,108,75,102,83,470,181,390,176
0500000US01013,01013,"Butler County, Alabama",7525,311,695,140,477,106,534,126,701,145,980,193,1471,182,828,155,525,148,105,47,121,59,93,50,90,54,529,161,376,133
0500000US01015,01015,"Calhoun County, Alabama",44596,1154,4394,426,2654,332,3647,433,4692,533,4942,496,5263,481,4857,539,2303,369,1118,235,2205,337,853,230,319,137,4073,508,3276,369
0500000US01017,01017,"Chambers County, Alabama",13546,525,600,136,530,176,782,166,1921,306,1371,275,1700,263,1808,346,1144,251,433,176,508,134,304,112,128,67,1123,261,1194,219
0500000US01019,01019,"Cherokee County, Alabama",9764,503,950,235,969,238,996,240,1191,218,1168,220,1442,250,707,163,371,129,217,80,172,87,106,68,82,66,744,206,649,163
0500000US01021,01021,"Chilton County, Alabama",16987,671,1902,429,1544,304,1421,255,2379,327,1503,225,2433,471,1150,199,1217,244,502,186,585,184,300,149,138,103,673,186,1240,290
0500000US01023,01023,"Choctaw County, Alabama",4086,234,481,129,440,128,284,82,459,113,414,110,559,118,491,118,191,71,58,45,70,45,47,34,76,51,146,49,370,127
0500000US01025,01025,"Clarke County, Alabama",7932,497,999,208,773,200,769,167,925,204,644,124,1082,217,585,140,391,147,148,86,284,116,180,116,82,46,530,181,540,199
0500000US01027,01027,"Clay County, Alabama",5303,321,699,190,362,132,581,157,523,162,540,146,801,210,366,131,143,74,108,60,155,96,54,35,75,64,495,153,401,144
0500000US01029,01029,"Cleburne County, Alabama",5447,249,561,104,536,118,511,119,535,111,631,147,863,202,365,101,384,132,102,58,100,52,53,37,48,39,471,135,287,91
0500000US01031,01031,"Coffee County, Alabama",21373,597,1545,288,1545,245,1399,255,2105,239,2312,302,3303,365,2548,286,1510,221,490,150,753,161,468,119,453,216,1459,253,1483,228
0500000US01033,01033,"Colbert County, Alabama",21283,766,1139,197,940,189,1287,199,1760,316,2402,332,3343,441,2704,343,2053,308,478,157,892,204,563,207,165,89,1619,261,1938,313
0500000US01035,01035,"Conecuh County, Alabama",3695,293,223,89,250,74,188,87,627,189,520,152,768,173,303,91,240,102,2,4,114,62,30,26,36,43,170,78,224,87
0500000US01037,01037,"Coosa County, Alabama",3514,306,234,94,264,124,314,112,494,181,381,121,645,197,282,106,162,112,33,44,128,94,44,46,34,43,227,95,272,134
