GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
0500000US01001,01001,"Autauga County, Alabama",36466,108,456,168,0,27,0,27,18,20,0,27,66,67,10,12,17,19,236,140,145,88,358,160,798,220,808,204,999,249,617,185,10288,679,2231,309,2677,413,5171,510,2603,374,5204,568,3041,456,480,251,243,98
0500000US01003,01003,"Baldwin County, Alabama",139946,306,1039,248,14,20,52,58,0,27,30,46,136,116,142,100,199,147,656,279,387,142,1321,353,2205,398,3042,497,2790,455,1943,298,32640,1551,7514,799,8637,722,22641,1196,13208,874,27056,1290,10063,859,2967,485,1264,291
0500000US01005,01005,"Barbour County, Alabama",18387,160,326,90,7,12,28,28,5,12,41,28,109,70,53,37,74,37,189,78,176,80,531,121,650,138,993,158,1026,189,616,144,5015,315,1407,196,1151,215,2114,211,1510,224,1431,206,736,169,124,65,75,45
0500000US01007,01007,"Bibb County, Alabama",15750,161,237,113,0,21,0,21,0,21,25,32,22,29,8,12,9,14,91,64,242,91,275,93,641,209,614,155,624,191,252,130,5204,467,1382,273,724,179,2599,404,911,263,971,235,763,225,56,42,100,105
0500000US01009,01009,"Blount County, Alabama",39472,113,705,189,0,27,4,9,1,4,56,46,48,45,111,100,202,96,522,143,239,125,853,205,1281,265,1767,406,1167,262,926,176,10869,707,2134,281,3448,436,5421,535,4567,427,3522,383,1261,223,239,114,129,75
0500000US01011,01011,"Bullock County, Alabama",7333,189,102,70,0,18,0,18,13,21,6,12,50,49,50,59,24,30,31,40,148,83,130,67,194,114,317,126,690,196,697,243,2302,372,202,97,173,106,1168,287,284,127,356,129,270,104,90,76,36,49
0500000US01013,01013,"Butler County, Alabama",13949,60,307,107,0,21,0,21,9,20,3,5,48,59,27,32,22,28,172,52,123,56,277,76,389,103,395,103,555,117,315,85,4864,300,695,137,567,118,1828,185,1110,208,1328,189,674,139,136,69,105,53
0500000US01015,01015,"Calhoun County, Alabama",78661,117,941,216,20,31,13,20,2,4,21,31,217,106,160,103,191,90,517,154,865,205,1361,241,1994,330,3126,376,2889,409,1577,240,20167,811,5061,477,5835,496,14047,808,5771,579,8247,662,4138,399,860,198,641,188
0500000US01017,01017,"Chambers County, Alabama",23854,52,451,152,0,24,0,24,10,16,0,24,70,53,42,47,58,74,170,78,220,112,307,136,843,216,1027,210,921,201,589,142,7615,471,1786,272,1337,239,3516,344,1914,290,2086,269,624,121,203,73,65,44
0500000US01019,01019,"Cherokee County, Alabama",18694,96,311,113,0,21,0,21,15,23,0,21,15,19,19,24,120,94,165,84,119,63,332,128,686,204,767,184,668,200,282,86,5631,495,1091,204,1234,238,3060,393,1569,276,1463,252,766,174,279,115,102,82
0500000US01021,01021,"Chilton County, Alabama",29735,140,456,144,0,24,14,24,38,62,52,63,151,144,78,88,83,86,179,87,238,135,748,195,1024,259,777,199,1176,245,904,248,10483,625,1784,264,1569,288,3482,439,2082,356,2830,320,1243,248,236,98,108,71
0500000US01023,01023,"Choctaw County, Alabama",9448,52,164,68,0,18,6,9,0,18,24,30,54,40,12,14,81,56,20,19,93,42,235,82,213,52,310,95,534,133,252,90,2994,275,526,109,654,139,1337,206,809,132,740,132,296,96,81,57,13,14
0500000US01025,01025,"Clarke County, Alabama",17022,*****,241,125,0,21,9,11,0,21,0,21,11,20,85,72,31,29,136,73,219,84,105,56,320,107,589,132,953,212,528,164,6623,505,1057,214,760,194,2123,257,1166,243,1317,247,551,134,110,54,88,93
